Date,Price_MSFT,Price_AMZN,Price_AAPL,Price_FB,MSFT_size,AMZN_size,AAPL_size,FB_size,total_value,periodic_reinvestment,reinvestment_due_to_loss,MSFT_change,AMZN_change,AAPL_change,FB_change,total_value_percentage,Drawdown
2020-01-03,155.33135986328125,1874.969970703125,73.17593383789062,208.6699981689453,7082.41920810201,7084.660762402859,7101.995328118055,7133.771184677679,28402.85,0.0,0.0,0.0,0.0,0.0,0.0,184.03,-0.9900973352936604
2020-01-06,155.73284912109375,1902.8800048828125,73.75899505615234,212.60000610351562,7100.725332724112,7190.12011754976,7158.5835782560725,7268.125800124092,28717.55,0.0,0.0,0.0,0.0,0.0,0.0,187.18,0.0
2020-01-07,154.31289672851562,1906.8599853515625,73.412109375,213.05999755859375,7035.981818544894,7205.158657847826,7124.917038483684,7283.851461772766,28649.91,0.0,0.0,0.0,0.0,0.0,0.0,186.5,-0.23555575120681738
2020-01-08,156.7708740234375,1891.969970703125,74.59304809570312,215.22000122070312,7148.054651886183,7148.896048750236,7239.531513999738,7357.695195988351,28894.18,0.0,0.0,0.0,0.0,0.0,0.0,188.94,0.0
2020-01-09,158.72940063476562,1901.050048828125,76.17745208740234,218.3000030517578,7237.35475525139,7183.205543951173,7393.303787980244,7462.990775151308,29276.85,0.0,0.0,0.0,0.0,0.0,0.0,192.77,0.0
2020-01-10,157.9949493408203,1883.1600341796875,76.34967041015625,218.05999755859375,7203.867042556207,7115.607296086399,7410.0182138777545,7454.7857419106795,29184.28,0.0,0.0,0.0,0.0,0.0,0.0,191.84,-0.3162107690132365
2020-01-13,159.8947296142578,1891.300048828125,77.98084259033203,221.91000366210938,7290.488574174869,7146.364717957825,7568.329513718878,7586.4053462768825,29591.59,0.0,0.0,0.0,0.0,0.0,0.0,195.92,0.0
2020-01-14,158.76856994628906,1869.43994140625,76.92784118652344,219.05999755859375,7239.140701660061,7063.765290909086,7466.131828522027,7488.972597938262,29258.01,0.0,0.0,0.0,0.0,0.0,0.0,192.58,-1.1272721537759933
2020-01-15,159.7967987060547,1862.02001953125,76.59815979003906,221.14999389648438,7286.023360286733,7035.728772890509,7434.135028279115,7560.423001839904,29316.31,0.0,0.0,0.0,0.0,0.0,0.0,193.16,-0.9302575698776683
2020-01-16,162.72482299804688,1877.93994140625,77.55766296386719,221.77000427246094,7419.528246264988,7095.882934082774,7527.258364059674,7581.6192072990225,29624.29,0.0,0.0,0.0,0.0,0.0,0.0,196.24,0.0
